,Unnamed: 0,Ligand,Receptor,EM,Target,Sender.group,Receiver.group,Ligand_sclog2FC,Receptor_sclog2FC,EM_sclog2FC,Target_sclog2FC,Path,SigWeight_5X,SigWeight_WT,log2FC,adjlog2FC,Ligand_pr_log2FC,Ligand_pr_adjlog2FC,Receptor_pr_log2FC,Receptor_pr_adjlog2FC,EM_pr_log2FC,EM_pr_adjlog2FC,Target_pr_log2FC,Target_pr_adjlog2FC,Ligand_ps_log2FC,Ligand_ps_adjlog2FC,Receptor_ps_log2FC,Receptor_ps_adjlog2FC,EM_ps_log2FC,EM_ps_adjlog2FC,Target_ps_log2FC,Target_ps_adjlog2FC,Ligand_py_log2FC,Ligand_py_adjlog2FC,Receptor_py_log2FC,Receptor_py_adjlog2FC,EM_py_log2FC,EM_py_adjlog2FC,Target_py_log2FC,Target_py_adjlog2FC,sc_up,sc_down,pr_up,pr_down,ps_up,ps_down,py_up,py_down,RNA_score,pr_score,ps_score,py_score,final_score,final_score_wKinase,Kinase_R_of_EM,Kinase_R_of_T,Kinase_EM_of_T,Kinase_R_of_EM_EIcondition1,Kinase_R_of_EM_EIcondition2,Kinase_R_of_T_EIcondition1,Kinase_R_of_T_EIcondition2,Kinase_EM_of_T_EIcondition1,Kinase_EM_of_T_EIcondition2,Kinase_score_5X,Kinase_score_WT,Path.ID
0,1,Nlgn1,Nrxn3,Dlg4,Grin2a,Excitatory.neurons,Excitatory.neurons,0.0492598785693727,0.0117434654668113,0.236225585299372,0.0288111813968336,Nlgn1*Nrxn3*Dlg4*Grin2a,0.567017920100326,0.502163786012408,0.175236339863899,0.175236339863899,0.0013658944952791,0.0002570139964299,0.0199991374617259,0.0199991374617259,-0.0951424699885132,-0.0951424699885132,-0.126087447034081,-0.126087447034081,0.0209967853216716,0.0209967853216716,,,-0.0623504625655674,-0.0572442390848237,0.0146018461827197,0.0146018461827197,,,,,0.0,0.0,0.0,0.0,4,0,2,2,2,1,0,2,0.173464395650194,-0.0500066071050174,-0.0053968210538681,0,0.145762681570751,0.145762681570751,,,,,,,,,,0.0,0.0,Nlgn1*Nrxn3*Dlg4*Grin2a*Excitatory.neurons*Excitatory.neurons
1,2,Nlgn1,Nrxn3,Dlg4,Grin2b,Excitatory.neurons,Excitatory.neurons,0.0492598785693727,0.0117434654668113,0.236225585299372,0.0978667817506634,Nlgn1*Nrxn3*Dlg4*Grin2b,0.575135730304189,0.508227089671011,0.178429191533556,0.178429191533556,0.0013658944952791,0.0002570139964299,0.0199991374617259,0.0199991374617259,-0.0951424699885132,-0.0951424699885132,-0.0439680761525628,-0.0439680761525628,0.0209967853216716,0.0209967853216716,,,-0.0623504625655674,-0.0572442390848237,0.0374105778547751,0.0374105778547751,,,,,0.0,0.0,0.0,0.0,4,0,2,2,2,1,0,2,0.176559450042326,-0.0296356764635016,0.0003012605576085,0,0.16189224208938,0.16189224208938,,,,,,,,,,0.0,0.0,Nlgn1*Nrxn3*Dlg4*Grin2b*Excitatory.neurons*Excitatory.neurons
2,3,Nlgn1,Nrxn3,Dlg2,Grin2a,Excitatory.neurons,Excitatory.neurons,0.0492598785693727,0.0117434654668113,-0.0279253490566827,0.0288111813968336,Nlgn1*Nrxn3*Dlg2*Grin2a,0.681553689578776,0.677182928505081,0.0092817062436866,0.0092817062436866,0.0013658944952791,0.0002570139964299,0.0199991374617259,0.0199991374617259,,,-0.126087447034081,-0.126087447034081,0.0209967853216716,0.0209967853216716,,,,,0.0146018461827197,0.0146018461827197,,,,,,,0.0,0.0,3,1,2,1,2,0,0,1,0.0092814397129878,-0.0262925005366019,0.0088986271955328,0,0.0005845030424533,0.0005845030424533,,,,,,,,,,0.0,0.0,Nlgn1*Nrxn3*Dlg2*Grin2a*Excitatory.neurons*Excitatory.neurons
3,4,Nlgn1,Nrxn3,Dlg2,Grin2b,Excitatory.neurons,Excitatory.neurons,0.0492598785693727,0.0117434654668113,-0.0279253490566827,0.0978667817506634,Nlgn1*Nrxn3*Dlg2*Grin2b,0.691311270952508,0.685359475365525,0.0124745579133425,0.0124745579133425,0.0013658944952791,0.0002570139964299,0.0199991374617259,0.0199991374617259,,,-0.0439680761525628,-0.0439680761525628,0.0209967853216716,0.0209967853216716,,,,,0.0374105778547751,0.0374105778547751,,,,,,,0.0,0.0,3,1,2,1,2,0,0,1,0.0124739108791914,-0.0059215698950859,0.0145967088070095,0,0.0168114803351531,0.0168114803351531,,,,,,,,,,0.0,0.0,Nlgn1*Nrxn3*Dlg2*Grin2b*Excitatory.neurons*Excitatory.neurons
4,5,Rims1,Slc17a7,Snap25,Gria2,Excitatory.neurons,Excitatory.neurons,0.0146467508972712,0.074671719349294,-0.053864320192355,0.0172175847961439,Rims1*Slc17a7*Snap25*Gria2,0.721906077063528,0.719868158193637,0.0040784435363889,0.0040784435363889,,,-0.134233558526082,-0.134233558526082,-0.0568695097714712,-0.0568695097714712,-0.065882797425021,-0.065882797425021,,,,,0.0746593121041717,0.0716150817330258,0.127462969294651,0.0504432156004126,,,,,,,0.0,0.0,3,1,0,3,2,0,0,1,0.0040784209233351,-0.0640072532105973,0.0304733439229731,0,-0.012688533720477,-0.012688533720477,,,,,,,,,,0.0,0.0,Rims1*Slc17a7*Snap25*Gria2*Excitatory.neurons*Excitatory.neurons
5,6,Slitrk1,Ptprs,Ntrk2,Atp11b,Excitatory.neurons,Excitatory.neurons,-0.0462615339603219,-0.0045516056427122,0.179178200288887,-0.0149038530877551,Slitrk1*Ptprs*Ntrk2*Atp11b,0.517034483339666,0.528056664938861,-0.0304322477233101,-0.0293293425554618,-0.0962401401933578,-0.0386743654658508,-0.0902497700065452,-0.0902497700065452,0.124245145864787,0.0953977459224786,,,0.12242985029715,0.0335627412826848,0.230319103751404,0.103014698141602,0.147060358974954,0.0311973012667061,,,,,,,0.0,0.0,,,1,3,1,2,3,0,0,1,-0.0293209356469414,-0.0083878082309007,0.041847292179869,0,-0.0125911936724572,-0.0125911936724572,,,,,,,,,,0.0,0.0,Slitrk1*Ptprs*Ntrk2*Atp11b*Excitatory.neurons*Excitatory.neurons
6,7,Slitrk1,Ptprs,Ntrk2,Hdac7,Excitatory.neurons,Excitatory.neurons,-0.0462615339603219,-0.0045516056427122,0.179178200288887,0.054320191978743,Slitrk1*Ptprs*Ntrk2*Hdac7,0.345019421586624,0.317623508036665,0.11935988176789,0.0678442726464887,-0.0962401401933578,-0.0386743654658508,-0.0902497700065452,-0.0902497700065452,0.124245145864787,0.0953977459224786,,,0.12242985029715,0.0335627412826848,0.230319103751404,0.103014698141602,0.147060358974954,0.0311973012667061,,,,,,,0.0,0.0,,,2,2,1,2,3,0,0,1,0.0677403717070846,-0.0083878082309007,0.041847292179869,0,0.0844701136815687,0.0844701136815687,,,,,,,,,,0.0,0.0,Slitrk1*Ptprs*Ntrk2*Hdac7*Excitatory.neurons*Excitatory.neurons
7,8,Slitrk1,Ptprs,Ntrk2,Cadps2,Excitatory.neurons,Excitatory.neurons,-0.0462615339603219,-0.0045516056427122,0.179178200288887,0.0159651004573388,Slitrk1*Ptprs*Ntrk2*Cadps2,0.348145385475353,0.339567470516225,0.0359916412842362,0.0207228635806247,-0.0962401401933578,-0.0386743654658508,-0.0902497700065452,-0.0902497700065452,0.124245145864787,0.0953977459224786,-0.0650752060575233,-0.0650752060575233,0.12242985029715,0.0335627412826848,0.230319103751404,0.103014698141602,0.147060358974954,0.0311973012667061,-0.0509947598472519,-0.0403240911866041,,,,,0.0,0.0,,,2,2,1,3,3,1,0,1,0.0207198977014467,-0.0246336836343259,0.0317717298546799,0,0.0242889208116237,0.0242889208116237,,,,,,,,,,0.0,0.0,Slitrk1*Ptprs*Ntrk2*Cadps2*Excitatory.neurons*Excitatory.neurons
8,9,Slitrk1,Ptprs,Ntrk2,Trmt6,Excitatory.neurons,Excitatory.neurons,-0.0462615339603219,-0.0045516056427122,0.179178200288887,-0.143012570060036,Slitrk1*Ptprs*Ntrk2*Trmt6,0.338912282253268,0.40883671937997,-0.27061285538176,-0.193729624633631,-0.0962401401933578,-0.0386743654658508,-0.0902497700065452,-0.0902497700065452,0.124245145864787,0.0953977459224786,-0.0076423394694835,-0.0017911323434112,0.12242985029715,0.0335627412826848,0.230319103751404,0.103014698141602,0.147060358974954,0.0311973012667061,,,,,,,0.0,0.0,,,1,3,1,3,3,0,0,1,-0.191341831902589,-0.0088355908379016,0.041847292179869,0,-0.174835981231605,-0.174835981231605,,,,,,,,,,0.0,0.0,Slitrk1*Ptprs*Ntrk2*Trmt6*Excitatory.neurons*Excitatory.neurons
9,10,Slitrk1,Ptprs,Ntrk2,Ralyl,Excitatory.neurons,Excitatory.neurons,-0.0462615339603219,-0.0045516056427122,0.179178200288887,-0.17451209619779,Slitrk1*Ptprs*Ntrk2*Ralyl,0.527813826553515,0.562228330092469,-0.0911270075897276,-0.0911270075897276,-0.0962401401933578,-0.0386743654658508,-0.0902497700065452,-0.0902497700065452,0.124245145864787,0.0953977459224786,-0.0116602122133546,-0.0051274916590334,0.12242985029715,0.0335627412826848,0.230319103751404,0.103014698141602,0.147060358974954,0.0311973012667061,,,,,,,0.0,0.0,,,1,3,1,3,3,0,0,1,-0.0908755990966121,-0.0096696699117973,0.041847292179869,0,-0.0747867879625763,-0.0747867879625763,,,,,,,,,,0.0,0.0,Slitrk1*Ptprs*Ntrk2*Ralyl*Excitatory.neurons*Excitatory.neurons
